path,source_group,label,width,height,mode,pixel_sha256,file_sha256,dhash,original_split,split,id
DB - Copy/validation/Difetto4/bam5_Img4_A80_S7_[12][32].png,bam5,LP,227,227,L,f0d52f616dc20209a1130529b27d2e25b643015fea3235a5eb8fde81a30fa813,ac3027d8974104da1dc3a3283242140e12b77afb509ea265f1b31bd11ad79f18,9226782784293488844,validation,validation,validation_LP_004
DB - Copy/training/NoDifetto/RRT-107R_Img1_A80_S2_[22][14].png,RRT-107R,ND,227,227,L,a42d070e174a2b4342a0f1410d648077bb3b3bafcb7b7c69d26036cb28216f55,e13f5421d59872749e5fb08901af60608b67606c8110c735e18d9a92d453f0dd,15537184855310948812,training,validation,validation_ND_001
DB - Copy/training/NoDifetto/RRT-13R_Img1_A80_S7_[17][55].png,RRT-13R,ND,227,227,L,86512dd6fa21be3d52d9b27918d7bec7b6207978be7bef6faac826a41ec768b4,5c59605896293d647f496c29ab7704bbe36706453c0d0e83f0d9cbeb207c8f8f,108438235064041602,training,validation,validation_ND_002
DB - Copy/training/NoDifetto/RRT-13R_Img1_A80_S7_[18][24].png,RRT-13R,ND,227,227,L,a1e6786037a589d8725f9727b34f8a7332704770f3db76278aa8931d8514273f,cd8786b2e9e98d49ff66db793b3609142e0cb32e3371a385c21a3dcff2f7f6df,3751560274668425292,training,validation,validation_ND_003
DB - Copy/validation/NoDifetto/RRT-107R_Img1_A80_S3_[5][6].png,RRT-107R,ND,227,227,L,f3ff8326fdb422d7a20b23f4bdaacc6d0941c5ced0787d6333ac41ea5fa201a7,b00fff4595f07f758985be9589256d08cc5bb0d1e2707c664c6977b285c67019,12964980675428166443,validation,validation,validation_ND_004
DB - Copy/validation/Difetto2/RRT-107R_Img4_A80_S4_[7][26].png,RRT-107R,PO,227,227,L,e8f2657af68aae928d6cbc195d2e153a0c15c5281942fe053feb945c26afbc0e,c461a49975026d0a4168349751c6c9071eeb68613ef83bb5bd70ec9e585f106d,6437773295963917850,validation,validation,validation_PO_001
DB - Copy/validation/Difetto2/RRT-107R_Img2_A80_S4_[9][13].png,RRT-107R,PO,227,227,L,403c454b620bc3bf833f0efe7348c0cb49454f23a038243c28d625d204deb4c3,16cd0189d5a2ea132176f077f85e7e04b9549c445d45b27e3e0a7437b75d3aea,12670203064743771196,validation,validation,validation_PO_002
DB - Copy/validation/Difetto2/RRT-107R_Img3_A80_S4_[19][8].png,RRT-107R,PO,227,227,L,83d7fbf02537b7ba9f9814c9d22226702737fecb1ea83b584aee551c8734cd6a,856af74474bb3044fe893197a9f2974a352f83d5ec24db35c6c46fe4428a224e,11638539932451546550,validation,validation,validation_PO_003
DB - Copy/training/Difetto2/RRT-107R_Img1_A80_S4_[9][23].png,RRT-107R,PO,227,227,L,8dc8305a8e945195205f4c04c36955a3e4665d8e48173b5cc763f0eac722ae7b,b9968b13efd191c06f4097d8eb447428020320a66a8808f1f02ad8f15c03e11e,2554216972770575305,training,validation,validation_PO_004
DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[6][42].png,RRT-30R,CR,227,227,L,c5b5e99de5f57071543ceedd13d2d38a53216ffc59fb1daf4a43fde1c4da25eb,5efc6203201c00a683a5818454b48b0f0c7687896b8a42fd63cf38a1171091e1,2686231145011346910,training,test,test_CR_001
DB - Copy/training/Difetto1/RRT-97R_Img1_A80_S2_[2][5].png,RRT-97R,CR,227,227,L,70bb097f87115c4e337e147d2d69ba24f31255e5578de50e86cd3e5e6199ae2e,bf17d47b40b52c4a4eb6d5e71c7d1b56911d499249082baa0c027ba0ecc6cb1f,565161895266054,training,test,test_CR_002
DB - Copy/training/Difetto1/RRT-30R_Img3_A80_S1_[3][71].png,RRT-30R,CR,227,227,L,fa35cfd3ef714f66701bab5fdb36d39dfc5bc357f6b57359780e184adc2267d2,edba8e8e0eb139bebf0172681cde2f0fa9caa5ee18faa4a1b5a8c210b1aea939,13893838637534841305,training,test,test_CR_003
DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][16].png,RRT-23R,CR,227,227,L,2feee6b9e40ff6ab8884b9a95f2ac00ca3fe46525c3abf2fe96373ee9d13d276,d0a5fa6fd31c86320441936e4e5c5234c7d644f35ef893f7f4b12217c15ecac1,885037085562642946,training,test,test_CR_004
DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[11][15].png,RRT-23R,CR,227,227,L,17be9edab69412c5b9ba5b148641af26632b947625b0b191eff4e91a4096968f,62a88f6a80ef8d53a3cd0911c6098cff300a046e04c977f12e5339e7f576fa18,514719073330909441,training,test,test_CR_005
DB - Copy/training/Difetto1/RRT-102R_Img1_A80_S8_[5][4].png,RRT-102R,CR,227,227,L,6afaf53b8abe873541ea702976ff61d3cffbd2215861582db48f367f58445c22,b8efc5db685743787c506415573ccc2a39fe0598c21d87126d3bb81e307a6b7b,2666422508999361427,training,test,test_CR_006
DB - Copy/training/Difetto1/RRT-23R_Img1_A80_S1_[12][17].png,RRT-23R,CR,227,227,L,b3d0a997aa9bd6025e9012663cd0cd2c2279b4a8320e9f3cf091b792d30cf949,cece0be8372b5f01f90fcb29a734614ac60897ce3ad5d94b956390e99f878828,10416848564201457028,training,test,test_CR_007
DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][61].png,RRT-30R,CR,227,227,L,1400213d2eb849170101a1f2ca70e0e3e766776f09e34a4a08c409d7dbf1c42b,82a359b880baca8407cde01bac5de9d0e58643db8ea1a2ec6bf0cb68f6fc0fab,15909899438149971425,training,test,test_CR_008
DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[30][10].png,RRT-102R,CR,227,227,L,d63f31abc8043bc9a35b956ecc740dddba3c9140617ff2cc0cbaae5c5c30f98d,dcb79f2d23977acb7566230c0694f9d22546f5526bbbd00693b8b975732b8d53,5135865587792430596,training,test,test_CR_009
DB - Copy/training/Difetto1/RRT-23R_Img2_A80_S1_[7][17].png,RRT-23R,CR,227,227,L,5f608575fc6e2ce281034ecaded8d5a3ae70f91d3c189a92b9b7c2b5b816e9c1,99db8e5dd003da25b0762412230a2e6fb29c286108c57d7ee8e4a8e7cba0ce50,4042289731857649684,training,test,test_CR_010
DB - Copy/training/Difetto1/RRT-102R_Img2_A80_S8_[21][6].png,RRT-102R,CR,227,227,L,b185641db9d6de1d1d9b5106c7358d0666c0453700aeba39275565f521e0c3eb,cadbb127bafe0170855894d66067e23cb155faa157ccb6651d9e3aca76dfdd6b,1846365134499849767,training,test,test_CR_011
DB - Copy/training/Difetto1/RRT-102R_Img3_A80_S4_[17][9].png,RRT-102R,CR,227,227,L,497e7c9664e98223f6f2d1e197bb8f12a662d4aa08563fe3c024f1173acd5f2b,8bd4931ab96a4789164ba81628e82b6da2463ec0046026595151c3d4c321c45f,11990383378406180387,training,test,test_CR_012
DB - Copy/training/Difetto1/RRT-30R_Img2_A80_S1_[5][50].png,RRT-30R,CR,227,227,L,2ad63bd2102b9ae93e7b0d72298172e4038ee37574994390a822d350b1ed6976,82c97e18ce4f8bbaf24250d8eb85b42e3bf8bc61d663dfa9e50ca06980c7ec9a,12644179314836841027,training,test,test_CR_013
DB - Copy/validation/Difetto1/RRT-102R_Img1_A80_S5_[15][4].png,RRT-102R,CR,227,227,L,6e6b48e7bf705ef2f21702e0809040c914d4c4b4f5be836af66f8c0aac6c172b,17e64e078c53ce8f4a3965a4556005a7a0da32834a44fe3b2138bc63f6407e91,4869045148414334503,validation,test,test_CR_014
DB - Copy/validation/Difetto1/RRT-102R_Img2_A80_S5_[13][6].png,RRT-102R,CR,227,227,L,83e66cd4beac93288e78ded1ff4a158d613919c8e03292bc0eed33235293f26c,a8022fc6c1b872d9bd5a8c33c1c53e650d14bcc7704c88dfa4197fe20c6e340e,2753825047621504220,validation,test,test_CR_015
DB - Copy/training/Difetto1/RRT-30R_Img1_A80_S1_[2][44].png,RRT-30R,CR,227,227,L,22195a876cb0c5676d8360b48353fcb5dc04cd27eb7c8f36c60cb92d3439ca7c,79eac7a0d8508028f419172f6be67036dc6a5a7ce615559fd0e757f9d4dbab1c,17790538434127078136,training,test,test_CR_016
DB - Copy/validation/Difetto1/RRT-102R_Img4_A80_S5_[13][5].png,RRT-102R,CR,227,227,L,e41f8312750ab2584e81efc2ab616e1e6d827a14004e1285afc6a2932095735b,872689286a34d689e84c8e9f908bdf90d23ab8e92c9ce36226058bfa6b644ed5,1953126433608352878,validation,test,test_CR_017
DB - Copy/training/Difetto1/RRT-23R_Img3_A80_S2_[27][35].png,RRT-23R,CR,227,227,L,458f0e88fb367783bd42c2c9f7c3ac5ec469f6005ea7fd72e059cd4ab9b13a2d,a8a3ab3e9371d8af56c035d53aad6df07babd3d8bcb56f0a99f958b47e1a8829,4052141918422551370,training,test,test_CR_018
DB - Copy/validation/Difetto1/RRT-23R_Img2_A80_S2_[10][1].png,RRT-23R,CR,227,227,L,2943bdb44dc15e962e45f12d5a697b55ff11614aabf74d71b7be2ea0dac53283,25802e41fb261028eb03663105075e197c68bdd190b252e64166cab55cb3af89,2975069330511177623,validation,test,test_CR_019
DB - Copy/validation/Difetto1/RRT-105R_Img4_A80_S1_[5][14].png,RRT-105R,CR,227,227,L,4ff8db99b6c08e860ad4052c4be08b05808972171c8fe152346323e1a79ccf1f,6e82da0e2526748b68d65f33ffae8206365e6866b9bfdd4087d9bbb79f177720,17357137913845737018,validation,test,test_CR_020
DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[7][19].png,RRT-28R,LP,227,227,L,913b1686dc198c243af094e8cff7e1bab4ef4bcfb3a387964016cbdaf419a91a,179f5dabeb15d5cf6b053846e82ab06c449d265b98c192f5923fb5afa3e1ad2a,5823918620794720848,validation,test,test_LP_001
DB - Copy/training/Difetto4/RRT-42R_Img2_A80_S1_[5][25].png,RRT-42R,LP,227,227,L,e58dcf9a03809cfa36f273555ef38163b07ef578b4f07056424180b46ff0c969,df0a474d1f6fd36564158225987b1daa28ca88a6b3db93cc0a5e5f3819863d02,13690077274442365914,training,test,test_LP_002
DB - Copy/training/Difetto4/RRT-42R_Img2_A80_S2_[5][8].png,RRT-42R,LP,227,227,L,a240746427739ab76755dad9175025de770da885d5ecdcd341687bf93dcb2702,36d7a86e5efb260ad267558015ba8d7d1e3870bd9086d402f3e5726a94afa71f,78548011228400674,training,test,test_LP_003
DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S8_[4][19].png,RRT-28R,LP,227,227,L,d8a1b0e7493ce160dc2bcb0ef478aebf23db5683b2ba32d8244a249a1290327b,592ff27ec173d06487eef1812f4fb244eab8cc8d9b042ef1285f011e2740a4f0,3772764053675980205,training,test,test_LP_004
DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S8_[2][1].png,RRT-28R,LP,227,227,L,4fc7b032e5c8351285d1c82caf5828d18ab1a7fe2beb4ee72d0bb4a3e149df44,7a17a65dcde562a3c79139f5443c12414fdc42af30c59ee86decdec9890f8aa8,1468323176533993698,validation,test,test_LP_005
DB - Copy/testing/Difetto4/RRT-28R_Img3_A80_S8_[3][6].png,RRT-28R,LP,227,227,L,96eb35c952bdf5f260e7fb0fe5fcbed67a2c413304cea753f429f6fa445538e7,11b92a375f817118f2e0503cbb38a9241a515d315daa8549db3bd3ac2238f618,9227192380695348228,testing,test,test_LP_006
DB - Copy/training/Difetto4/RRT-42R_Img4_A80_S2_[3][11].png,RRT-42R,LP,227,227,L,470d8b160408801ccd6bb000a61498af0dbbb1b5148408c85f3266f138b6aaa1,ac4f47936f6da6c6cbf39c06bb5056021117dbb6f1edf8fd11421811d00f83fa,3572281385075811752,training,test,test_LP_007
DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S3_[5][16].png,RRT-28R,LP,227,227,L,226316c538de23183419b6805dc8238a1ed34f78c336c4ae48c0f4187b7f5c58,eb0e2bb11848b46b7f9f2d060295b7a497f8560b605242e8845fd204698c9d98,9451345903132371332,training,test,test_LP_008
DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[5][41].png,RRT-28R,LP,227,227,L,1d0638d77890eea4ea8083703cb9fa655cee18bd6a7e3ca672664f5fd4fb31ad,7e3dc2cbe3b2185fa7ac700ace75b3f12cbf5fa554a2620b95c009b21e096cfb,836012354214843098,training,test,test_LP_009
DB - Copy/testing/Difetto4/RRT-42R_Img3_A80_S2_[6][11].png,RRT-42R,LP,227,227,L,411af63088c583530bc2950850a1da46e3e135128c2e8c054346bead22d4784e,557cc6ea701ae86ec05722ee58afed3aee2b17c9db03502b8f180cd524132b48,13707584180448401043,testing,test,test_LP_010
DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S3_[6][23].png,RRT-28R,LP,227,227,L,38915dc246844214432b9d16986c9626fdbda4905ecd97705499787ffb16582a,eba888e62f146ccbf661c2092e6b33ca81917976e5365e34c538fad8100b3b70,8815921010591049348,validation,test,test_LP_011
DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S3_[6][16].png,RRT-28R,LP,227,227,L,57dd53f0ec0572548658b4c5020f39f24bd2cc78d50e1b5d2ee94a6dac52bb26,274f3ca905c6bf1fd656a71900f123c3dc04635bf7881cfb88fbe619a433858b,2443490893721290137,validation,test,test_LP_012
DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S2_[3][18].png,RRT-28R,LP,227,227,L,3cb0958a6c6cac1c8b444c98bc55db2dd7311319c29739a7bd24192406bc5c2e,cd6fb8ec2971164ae0d25cc3084ceee2c2703b2f3a0770d66009696a2086f405,16823267020147083602,training,test,test_LP_013
DB - Copy/validation/Difetto4/RRT-28R_Img3_A80_S8_[5][40].png,RRT-28R,LP,227,227,L,a816275c68c26c66867236030e75b56683aaf14c4c982aae370d84113803f9da,c983720e5a18db163c7d38ac604f3c6fb2691f4623438d40e2c494e175164796,5497926371192121637,validation,test,test_LP_014
DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[5][16].png,RRT-28R,LP,227,227,L,be9684b86bd5c455004643292a1f11e050eb8e646bea92a112d9f8486102974e,fe8fef880b2c472d26f52fcfe6e1cf20a9102306542759162fe92c2beaa98099,6506059182461589705,validation,test,test_LP_015
DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S2_[2][37].png,RRT-28R,LP,227,227,L,ce02e667d177d48807555248b9741ef4eeb1717fdf68839e0dae029c323e1d5b,ce7cd31c913b145667835535c78fb949f14f3014e5c06d3aaf3662069c669e4b,3452535526033695,validation,test,test_LP_016
DB - Copy/validation/Difetto4/RRT-28R_Img2_A80_S10_[4][15].png,RRT-28R,LP,227,227,L,a8995910187359a30c2d8295513ca15c78a94b6858d7c67efcfa8b33b4da0f62,0d28c1af2e86849052c598261160c41c57a07a1d2349c7b36121b570ecb1072d,3160907841397511915,validation,test,test_LP_017
DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S2_[7][24].png,RRT-28R,LP,227,227,L,198be06a9e96e263ec1e64299960093230f77846ddbe3862f990da8bd9a92a21,7cb04797fc286082e0f3699668a7d1c7f9f0467050bfe375e295d5359fe628ae,703067503702233649,training,test,test_LP_018
DB - Copy/training/Difetto4/RRT-28R_Img2_A80_S1_[2][8].png,RRT-28R,LP,227,227,L,190ef9aa29c1e0a3124583f7cf5d0af10039e565548775b27db92a98cade4c6f,a1ee8af945c7c63b7aef327f779c5246876df9588177885de70817434dedc00e,9856586427964555553,training,test,test_LP_019
DB - Copy/training/Difetto4/RRT-28R_Img4_A80_S8_[3][17].png,RRT-28R,LP,227,227,L,cc820a5552a0ce0ebb96bef0f5d1903247a34e4980a7ba272415d039479a0bda,ccdbe703a773bf1347763f9e9f52d39bd154d523b4884e4cca6ddacb95df4508,5426083983806719597,training,test,test_LP_020
DB - Copy/testing/NoDifetto/RRT-42R_Img1_A80_S1_[1][27].png,RRT-42R,ND,227,227,L,5ead45913634ae9e3dd829f6396073b405326ec07968952e86076d1cee3ff9bf,b429c317ca42fe98b94c88a6eb307e937b58c46c627f845fde2deb22a8c5476c,8860392934394476186,testing,test,test_ND_001
DB - Copy/training/NoDifetto/RRT-105R_Img1_A80_S1_[2][36].png,RRT-105R,ND,227,227,L,05c937c2ae09b3e048bc2191ecbf4a691177ac31c7f56f01a579f5ba60aba868,bdbcdab6dbf1a93f40fb10c28f838bdf668cca115ba0fb5a381d05ec1f5cef17,7557858661962934504,training,test,test_ND_002
DB - Copy/training/NoDifetto/RRT-102R_Img1_A80_S2_[4][31].png,RRT-102R,ND,227,227,L,040a5ca46c5932739eda47304f344a5d3988a1cf9aceeb32c78e2fb64f5cf4c3,9a12ba36991ec97eed45017b1d38a04ebfe1f96026aeec817ca7ee75ee2102d8,6844040916718883733,training,test,test_ND_003
DB - Copy/validation/NoDifetto/RRT-30R_Img1_A80_S1_[9][57].png,RRT-30R,ND,227,227,L,2f664f354ea0bbbd899328de69f208e71e672a809f8f512e8cd57cb483268477,f8626f5929f860a6d9fbd4abd50dbec2bfee5929af5bad1f5280c3591b2bbd8f,7554973360156337380,validation,test,test_ND_004
DB - Copy/validation/NoDifetto/RRT-42R_Img1_A80_S6_[6][12].png,RRT-42R,ND,227,227,L,6e0249e389e874b84c4528d9f2784096704cb8348a2a9c652c5657f7f6883277,50cfc61910a427b8bb85decf8f97f0fe92238ad06d55eefc35a0d89e87f97930,5063348151129355587,validation,test,test_ND_005
DB - Copy/training/NoDifetto/RRT-30R_Img1_A80_S1_[9][70].png,RRT-30R,ND,227,227,L,6b038ab3c4e7d8ea72658072574558d30f6ebe39656b51c5f1a80a15496a9644,21ecfc8939c03efcba3bddf527a643015e70752cb714546d4fdf989344887555,4921528498273687625,training,test,test_ND_006
DB - Copy/training/NoDifetto/RRT-42R_Img1_A80_S6_[4][15].png,RRT-42R,ND,227,227,L,21af8785da9db98381fa621bbeada157637a1e6acdfd8baed14743e6eb915869,8abf70c693c6212eaaa1bb0287dcf92271f8b725d03e6c780801487e98e040c4,2681093293639050545,training,test,test_ND_007
DB - Copy/validation/NoDifetto/RRT-42R_Img1_A80_S6_[6][8].png,RRT-42R,ND,227,227,L,2e377a9a01bccdec043bfe120f179067fc61150a4fbf0df3bedef588cb23da7b,0ea3981458d2de8bc6fdb5b2e9f8d5348cd3216709744e1d504c83de79818b17,10996259037029409076,validation,test,test_ND_008
DB - Copy/training/NoDifetto/RRT-102R_Img1_A80_S7_[20][5].png,RRT-102R,ND,227,227,L,9aa3901cffcfd6b3ad9ec56e86a04f9c3bcc97b7af3570e9aefbc74076b76b48,592bb3f84b54fd01e6ce53f7a041cc43709cc33d496c13cc7240089629297382,10460185536275915858,training,test,test_ND_009
DB - Copy/training/NoDifetto/RRT-42R_Img1_A80_S1_[1][25].png,RRT-42R,ND,227,227,L,2666152e82409b4803d687d473fa91d6ac0a0b533f9952d4cfc7948675313f3f,46a073e1a9daaebbd2c649b88fd25cb5f814a3e0f126bc63898413ed95c2a592,6791004211459157146,training,test,test_ND_010
DB - Copy/training/NoDifetto/RRT-102R_Img1_A80_S2_[10][25].png,RRT-102R,ND,227,227,L,205ceed38da3993607299ddb00f7e70dbbfe4468889ddf9b1611c7df17a17725,4296334525670882983e4ea8217c97e241fd8f95e7e465ece68e060d11a926b0,3250061079908534434,training,test,test_ND_011
DB - Copy/training/NoDifetto/RRT-30R_Img1_A80_S3_[17][29].png,RRT-30R,ND,227,227,L,60c7662eca565f3a82daaa901a73c010abf4d916743b143f21da34aaadcddd94,eddd665120e242234004fa719536e6fea19db275497c784fb44f23a38a271b9c,18016607200682284,training,test,test_ND_012
DB - Copy/training/NoDifetto/RRT-42R_Img1_A80_S1_[2][21].png,RRT-42R,ND,227,227,L,7e234eac5934606d3c6824e8faa195b81730842a9712ddeffea02a80e7fe2296,be6a117e80825af3aa34e7eb73a4b533ba37b05140aa4349f4cfc9b55c5a2a0b,9454013746864573882,training,test,test_ND_013
DB - Copy/training/NoDifetto/RRT-102R_Img1_A80_S7_[13][6].png,RRT-102R,ND,227,227,L,557a44ac52d2fcfa78f7c1317a9465362238d463fcbbf209b86f5c85d8c16dc2,173e463eb089fdaf5a1a8befca54a2b9573c4b09e8993e324ed177863c889b3a,7861503016280460579,training,test,test_ND_014
DB - Copy/training/NoDifetto/RRT-42R_Img1_A80_S1_[12][21].png,RRT-42R,ND,227,227,L,a92973311099ded8061e418fe25c8116d9cba0fa902a33743e0950e882669acf,15e2b729523f5f3eeefd023b50a470df5c57ed8b90a44390415a8c743367cbad,7347580640748493156,training,test,test_ND_015
DB - Copy/training/NoDifetto/RRT-102R_Img1_A80_S2_[5][38].png,RRT-102R,ND,227,227,L,93a5065b1f3cdb82ed7e36d4c07a152dff94ffd3955238fc8c17c703ccc1ba04,003f197c309ddb374e262567ff6808352035fa9f73702269d201cdecb34d4ed4,12243407693680874127,training,test,test_ND_016
DB - Copy/training/NoDifetto/RRT-42R_Img1_A80_S1_[13][22].png,RRT-42R,ND,227,227,L,40a8fc3e7ab1b81004863d66658c6217df31fc42309f6a63f20993fbfaa2afd7,3c13c442140b2b01a5a21912ef07473414670454df2f7c52d2aa5e18b703dcfe,17164998073189124595,training,test,test_ND_017
DB - Copy/validation/NoDifetto/RRT-30R_Img1_A80_S3_[17][27].png,RRT-30R,ND,227,227,L,9f0ad7a22b2ea9c22192987174392889f70a9765f5e639c20b810e89b58fa427,6ca61f4bbdf17108040b2bbc66dd978250c0772d52b94bd721efd26c9990d03b,2252349704783945,validation,test,test_ND_018
DB - Copy/training/NoDifetto/RRT-30R_Img1_A80_S3_[17][14].png,RRT-30R,ND,227,227,L,26ac076d3cead60125adc0c316f2f598dd3ba75acaacae005c491eeb44ff76c9,0f817c91134b204d8eeec31f47252d4cbf812ca028edbfec96a74a958d56a3a6,10108365099908466692,training,test,test_ND_019
DB - Copy/training/NoDifetto/RRT-42R_Img1_A80_S1_[13][8].png,RRT-42R,ND,227,227,L,6e39c81c05d4033866941a2520df4f752c3f50a48a9f9c41d8e975c8a7390869,46c5236207d057ff2d782a35ca7847f50383fa2de48356457d62144b343f6f58,18085890666729961215,training,test,test_ND_020
DB - Copy/testing/Difetto2/RRT-42R_Img3_A80_S3_[2][27].png,RRT-42R,PO,227,227,L,aad54a29aabebbdfbccbdc1adba769f8ce701452045aae323220d8ca83f2c511,b2095becb5b50d03c7dffbe6f0561474abeadfbe6fc9c8b745e7c15c28664edf,3697589270437345689,testing,test,test_PO_001
DB - Copy/testing/Difetto2/RRT-42R_Img2_A80_S3_[5][34].png,RRT-42R,PO,227,227,L,86a01fa92ece83f3b4d8280275ba8d58491d86466ab545b8c3e77e772d3ec1de,5253b02ba61c343eb6e187488e0111e35be5cbef6c164c3ddbfbde6667879620,9021899844082283363,testing,test,test_PO_002
DB - Copy/training/Difetto2/RRT-42R_Img2_A80_S3_[2][21].png,RRT-42R,PO,227,227,L,3d4445ef6be4ac05afec2d72e69314f2b483657869ef3bf5e40f9596eaadf3a8,c8e6148e5394f635586a1251d2f3d66c4424bd62520a549d1639ef8d1cc191fb,5923654951045798559,training,test,test_PO_003
DB - Copy/training/Difetto2/RRT-42R_Img1_A80_S3_[2][18].png,RRT-42R,PO,227,227,L,16d5e0c77f9255843677b5335cb066d6955b2a6bf32d78cca9153280885a5a00,a72b3e2ba2eabbbbd606be88adb0e92a6c1ef84a0d7490597d4e5a18b8c084ea,730287377915876243,training,test,test_PO_004
DB - Copy/validation/Difetto2/RRT-42R_Img1_A80_S3_[5][25].png,RRT-42R,PO,227,227,L,4c01d67c4e38317535796bb8c75e8163e8a97bfc6faff222d2b1a336b666c0a9,eb05690eb7a6f7e8f55080332ad18ed24aba6e634f01f98cf5c5eabfa2fa9753,1599346471189712914,validation,test,test_PO_005
DB - Copy/training/Difetto2/RRT-42R_Img3_A80_S3_[7][19].png,RRT-42R,PO,227,227,L,022862417e00e8644643a03bd566af67cd729fa9135447f502d51d1052bf2d6b,169643613c52892bf4007c16f324135030fdbc2b13b7adce9190b37ba9802af7,4622424437683135490,training,test,test_PO_006
